seller_id,total_orders,avg_delivery_days,late_orders
cb41bfbcbda0aea354a834ab222f9a59,11,10.3,4
b1b3948701c5c72445495bd161b83a4c,14,4.7,9
2a1348e9addc1af5aaa619b1a3679d6b,48,1.4,15
26e2c91ef821e1ff8985f408788fe35b,12,0.1,5
5f67c6082caacb26e431a7b17940cece,13,-1.1,4
054694fa03fe82cec4b7551487331d74,20,-1.4,6
54965bbe3e4f07ae045b90b0b8541f52,73,-1.7,26
4e5725ba188db8252977a4f0227bd462,21,-2.0,7
ca4b77513ac2040591b0d8fae6958380,14,-2.4,3
0417b067eeab773d2f7061a726dc477f,13,-3.2,4
4c8b8048e33af2bf94f2eb547746a916,19,-3.3,3
5011f0d93373a4c5753adf58ca77af8d,11,-3.4,4
ede0c03645598cdfc63ca8237acbe73d,43,-3.5,16
c37b2059d4f90d4feead554e5246565e,12,-3.6,7
5b581417df4480f632484ba681e53944,11,-3.6,4
a49928bcdf77c55c6d6e05e09a9b4ca5,96,-3.8,26
822bad9bc42b51213ba522fe87b7ab5d,18,-3.8,5
2709af9587499e95e803a6498a5a56e9,25,-3.8,23
5a413ade68e8f8d93071a7f52a64cb9e,14,-3.9,1
2953ce3a88f5e3c3b696d77fc9e4c8eb,14,-4.1,4
