category,total_orders,late_orders,pct_late,avg_review_score
office_furniture,1664,147,8.0,3.52
fashion_male_clothing,124,6,4.0,3.76
fixed_telephony,253,10,3.0,3.76
audio,359,45,12.0,3.83
home_confort,430,44,10.0,3.85
bed_bath_table,10985,906,8.0,3.92
furniture_living_room,494,38,7.0,3.94
furniture_decor,8159,675,8.0,3.95
home_construction,593,49,8.0,3.96
construction_tools_safety,182,10,5.0,3.97
computers_accessories,7671,585,7.0,3.99
telephony,4408,365,8.0,4.0
kitchen_dining_laundry_garden_furniture,272,12,4.0,4.03
air_conditioning,284,10,3.0,4.05
fashion_underwear_beach,126,16,12.0,4.05
christmas_supplies,143,12,8.0,4.07
electronics,2711,264,9.0,4.07
market_place,303,13,4.0,4.07
watches_gifts,5823,474,8.0,4.07
art,195,15,7.0,4.08
baby,2967,255,8.0,4.08
garden_tools,4254,336,7.0,4.08
agro_industry_and_commerce,206,9,4.0,4.09
construction_tools_construction,913,72,7.0,4.09
construction_tools_lights,293,30,10.0,4.09
signaling_and_security,196,10,5.0,4.09
housewares,6780,431,6.0,4.11
auto,4116,339,8.0,4.12
costruction_tools_garden,234,17,7.0,4.12
tablets_printing_image,81,5,6.0,4.12
drinks,365,20,5.0,4.13
industry_commerce_and_business,262,18,6.0,4.13
consoles_games,1080,81,7.0,4.14
home_appliances_2,232,16,6.0,4.16
sports_leisure,8436,616,7.0,4.17
dvds_blu_ray,61,4,6.0,4.18
cool_stuff,3698,245,6.0,4.19
fashion_bags_accessories,1995,125,6.0,4.19
health_beauty,9458,839,8.0,4.19
perfumery,3346,244,7.0,4.21
toys,4007,291,7.0,4.21
computers,196,11,5.0,4.22
musical_instruments,646,56,8.0,4.22
pet_shop,1917,116,6.0,4.22
home_appliances,789,52,6.0,4.23
small_appliances,657,38,5.0,4.23
stationery,2459,198,8.0,4.24
furniture_bedroom,103,8,7.0,4.25
food,487,48,9.0,4.26
fashion_shoes,256,15,5.0,4.29
cine_photo,71,5,7.0,4.3
luggage_accessories,1073,57,5.0,4.35
food_drink,271,17,6.0,4.37
books_technical,264,29,10.0,4.39
costruction_tools_tools,99,5,5.0,4.44
small_appliances_home_oven_and_coffee,73,5,6.0,4.44
books_general_interest,532,34,6.0,4.51
books_imported,57,2,3.0,4.51
