seller_id,total_orders,avg_review_score,avg_delivery_days,order_rank,delivery_rank,review_rank,seller_flag,overall_score
6560211a19b47992c3666cc44a7e94c0,1854,3.9094059405940596,-11.017072626443991,1,672,896,Standard,523.0
4a3ca9315b744ce9f8e9374361493884,1806,3.803931451612903,-8.9721304517383924,2,1013,1008,Standard,674.3
cc419e0650a3c5ba77189a1882b7556a,1706,4.0695748205411375,-12.327696186804063,3,477,718,Standard,399.3
1f50f920176fa81dab994f9023523100,1404,3.9824016563147,-10.106188301523083,4,832,830,Standard,555.3
da8622b14eb17ae2831f4ac5b9dab84a,1314,4.0714285714285712,-10.602948088323986,5,745,712,Standard,487.3
955fee9216a65b617aa5c0531780ce60,1287,4.0517125587642715,-9.6229766728220643,6,921,743,Standard,556.7
7a67c85e85bb2ce8582c35f2203ad736,1160,4.2349914236706692,-11.157404721102647,7,644,493,Standard,381.3
ea8482cd71df3c1969d7b9473ff13abc,1146,3.9532163742690059,-9.3935600799670667,8,958,846,Standard,604.0
4869f7a5dfa277a7dca6462dcf3b52b2,1132,4.1228222996515678,-10.453161093368657,9,775,651,Standard,478.3
3d871de0142ce09b7081e2b9d1733cb1,1080,4.11443661971831,-12.398394271032062,10,467,660,Standard,379.0
7c67e1448b00f6e969d365cea6b010ab,982,3.3482077542062911,-10.799788726548941,11,711,1187,"High Volume, Low Quality",636.3
8b321bb669392f5163d04c59e235e066,943,3.9950690335305721,-9.2987431016240958,12,972,824,Standard,602.7
1025f0e2d44d7041d6cf58b6550e0bfa,915,3.8497554157931515,-10.415625096852741,13,777,967,Standard,585.7
620c87c171fb2a6dd6e8bb4dec959fc6,740,4.2151898734177218,-13.17038438572836,14,370,517,Standard,300.3
a1043bafd471dff536d0c462352beb48,718,4.1890482398956976,-11.798881855180259,15,537,561,Standard,371.0
cca3071e3e9bb7d12640c9fbe2301306,712,3.8519855595667871,-14.646458859430096,16,233,965,Standard,404.7
f8db351d8c4c4c22c6835c19a46f01b0,667,4.2188365650969528,-11.041497678718368,17,663,513,Standard,397.7
e9779976487b77c6d4ac45f75ec7afe9,657,4.167336010709505,-9.1270417199175213,18,997,589,Standard,534.7
fa1c13f2614d7b5c4749cbc52fecda94,585,4.34020618556701,-9.6127642846854471,19,922,353,Standard,431.3
7d13fca15225358621be4086e1eb0964,565,4.001742160278746,-10.292240971822501,20,795,784,Standard,533.0
